Timeline Order,X Label,Run Family,Run Family Label,Phase,Phase Label,Checkpoint,Global Step,Phase Reset,Parseable Guard Fired,Format Guard Fired,Finish Guard Fired,Correctness Rule Fired,Stable Structure,Stable Window Ready,Correctness Plateau,Triggered Rules,Changed Components,Clamped Components,Exact Previous,Exact Current,Exact Delta,Parseable Rate,Solution Tag Compliance,Reasoning Tag Compliance,Malformed Rate,Truncation Rate,Average Completion Tokens,Average Token Fraction,Max Completion Length,Correctness Before,Correctness After,Correctness Delta,Formatting Before,Formatting After,Formatting Delta,Parseability Before,Parseability After,Parseability Delta,Finished Before,Finished After,Finished Delta,Controller Decision Path,Controller Decision Source,Controller Decision Match
14,lgc:c:300,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-300,300,False,False,False,False,False,True,True,False,,,,0.5,0.75,0.25,1.0,1.0,1.0,0.0,0.0,26.0,0.40625,64,6.0,6.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
15,lgc:c:360,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-360,360,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.75,0.5,-0.25,1.0,1.0,1.0,0.0,0.0,28.25,0.44140625,64,6.0,6.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
16,lgc:c:420,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-420,420,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,27.75,0.43359375,64,6.5,7.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
17,lgc:c:480,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-480,480,False,False,False,False,False,True,True,False,,,,0.5,0.75,0.25,1.0,1.0,1.0,0.0,0.0,27.5,0.4296875,64,7.0,7.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
18,lgc:c:540,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-540,540,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.75,0.5,-0.25,1.0,1.0,1.0,0.0,0.0,28.75,0.44921875,64,7.0,7.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
19,lgc:c:600,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-600,600,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.5,0.25,-0.25,1.0,1.0,1.0,0.0,0.0,27.75,0.43359375,64,7.5,8.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
20,lgc:c:602,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-602,602,False,False,False,False,False,True,True,False,,,,0.25,0.75,0.5,1.0,1.0,1.0,0.0,0.0,25.5,0.3984375,64,8.0,8.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
21,lgc:d:60,large_split_continue,Large Split Continue,phase_d,Large Phase D,checkpoint-60,60,True,False,False,False,False,True,False,False,,,,,0.75,,1.0,1.0,1.0,0.0,0.0,36.5,0.3802083333333333,96,5.0,5.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
22,lgc:d:120,large_split_continue,Large Split Continue,phase_d,Large Phase D,checkpoint-120,120,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.75,0.25,-0.5,1.0,1.0,1.0,0.0,0.0,33.0,0.34375,96,5.0,5.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
23,lgc:d:130,large_split_continue,Large Split Continue,phase_d,Large Phase D,checkpoint-130,130,False,False,False,False,False,True,True,False,,,,0.25,0.5,0.25,1.0,1.0,1.0,0.0,0.0,33.5,0.3489583333333333,96,5.5,5.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
24,dpd:d:60,phase_d_dedicated,Dedicated Phase D,phase_d,Dedicated Phase D,checkpoint-60,60,True,False,False,False,False,True,False,False,,,,,0.25,,1.0,1.0,1.0,0.0,0.0,29.0,0.3020833333333333,96,5.0,5.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
25,dpd:d:120,phase_d_dedicated,Dedicated Phase D,phase_d,Dedicated Phase D,checkpoint-120,120,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.25,0.25,0.0,1.0,1.0,1.0,0.0,0.0,25.75,0.2682291666666667,96,5.0,5.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
26,dpd:d:130,phase_d_dedicated,Dedicated Phase D,phase_d,Dedicated Phase D,checkpoint-130,130,False,False,False,False,False,True,True,False,,,,0.25,0.75,0.5,1.0,1.0,1.0,0.0,0.0,26.5,0.2760416666666667,96,5.5,5.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
